Category,Country,Customer ID,Order Date,Order ID,Payment Method,Product ID,Return Status,Review,Review Rating,Review Stars,Shipping Method,Table dim,Type Selected,# Customers,# Orders,# Products,Discount,Discount/Unit,Metric Selection,Metric Selection vs,Price,Profit,Profit/Unit,Quantity,Returned Quantity,Shipping Cost,Shipping Cost/Unit,Total Sales
Sports,Canada,8326,25-09-2023 00:00:00,ORDER00016,Bank Transfer,473,No,4 Stars,4,★★★★☆,Express,True,Bank Transfer,1,1,1,0.33,0.0825,"2,014.2",4.0,751.58,400.59,100.1475,4,2,14.63,3.6575,2014.23
Books,UK,9117,03-01-2023 00:00:00,ORDER00017,Cash,601,Yes,1 Stars,1,★☆☆☆☆,Next Day,True,Cash,1,1,1,0.25,0.083333333,158.7,3.0,70.52,15.94,5.313333333,3,2,25.83,8.61,158.67
Books,UK,1804,19-04-2023 00:00:00,ORDER00018,Cash,397,Yes,3 Stars,3,★★★☆☆,Next Day,True,Cash,1,1,1,0.19,0.027142857,710.3,7.0,125.27,72.47,10.352857143,7,3,30.27,4.324285714,710.28
Books,France,8578,08-05-2023 00:00:00,ORDER00019,Bank Transfer,315,Yes,5 Stars,5,★★★★★,Standard,True,Bank Transfer,1,1,1,0.34,0.034,"2,073.2",10.0,314.12,429.97,42.997,10,0,6.52,0.652,2073.19
Books,UK,9872,21-12-2023 00:00:00,ORDER00020,PayPal,706,No,5 Stars,5,★★★★★,Next Day,True,PayPal,1,1,1,0.26,0.052,273.0,5.0,73.79,55.71,11.142,5,3,7.62,1.524,273.02
Home,USA,7970,15-11-2023 00:00:00,ORDER00021,Bank Transfer,487,Yes,1 Stars,1,★☆☆☆☆,Next Day,True,Bank Transfer,1,1,1,0.13,0.043333333,"2,135.2",3.0,818.07,433.63,144.543333333,3,4,15.93,5.31,2135.16
Clothing,USA,2503,12-11-2023 00:00:00,ORDER00022,Cash,552,Yes,4 Stars,4,★★★★☆,Next Day,True,Cash,1,1,1,0.06,0.06,439.7,1.0,467.73,50.41,50.41,1,1,3.3,3.3,439.67
Home,USA,3065,04-11-2023 00:00:00,ORDER00023,Bank Transfer,88,Yes,2 Stars,2,★★☆☆☆,Standard,True,Bank Transfer,1,1,1,0.33,0.055,80.2,6.0,19.95,13.79,2.298333333,6,0,34.28,5.713333333,80.2
Home,Canada,5551,06-09-2023 00:00:00,ORDER00024,Bank Transfer,175,No,5 Stars,5,★★★★★,Express,True,Bank Transfer,1,1,1,0.37,0.074,"2,412.3",5.0,765.82,284.18,56.836,5,3,24.16,4.832,2412.33
Clothing,Germany,8431,24-02-2023 00:00:00,ORDER00025,Cash,601,No,4 Stars,4,★★★★☆,Next Day,True,Cash,1,1,1,0.24,0.24,320.3,1.0,421.43,58.77,58.77,1,3,44.86,44.86,320.29
Books,France,9566,15-05-2023 00:00:00,ORDER00026,Credit Card,850,Yes,1 Stars,1,★☆☆☆☆,Next Day,True,Credit Card,1,1,1,0.26,0.086666667,988.1,3.0,445.1,239.89,79.963333333,3,3,16.73,5.576666667,988.12
Clothing,France,6045,02-01-2023 00:00:00,ORDER00027,Bank Transfer,678,No,4 Stars,4,★★★★☆,Express,True,Bank Transfer,1,1,1,0.19,0.0475,"2,786.6",4.0,860.05,594.32,148.58,4,4,10.05,2.5125,2786.56
Sports,Germany,4711,25-12-2023 00:00:00,ORDER00028,Credit Card,538,Yes,3 Stars,3,★★★☆☆,Express,True,Credit Card,1,1,1,0.39,0.39,279.8,1.0,458.65,78.78,78.78,1,2,47.76,47.76,279.78
Home,UK,5970,18-06-2023 00:00:00,ORDER00029,Bank Transfer,846,No,1 Stars,1,★☆☆☆☆,Next Day,True,Bank Transfer,1,1,1,0.24,0.034285714,"4,268.8",7.0,802.4,1084.52,154.931428571,7,3,34.08,4.868571429,4268.77
Home,Canada,1502,17-07-2023 00:00:00,ORDER00030,PayPal,73,No,4 Stars,4,★★★★☆,Next Day,True,PayPal,1,1,1,0.3,0.033333333,"2,566.9",9.0,407.45,718.83,79.87,9,5,11.09,1.232222222,2566.93
Clothing,UK,1409,16-07-2023 00:00:00,ORDER00031,Credit Card,778,No,5 Stars,5,★★★★★,Express,True,Credit Card,1,1,1,0.28,0.028,637.1,10.0,88.49,154.65,15.465,10,2,3.03,0.303,637.13
Home,France,2737,01-04-2023 00:00:00,ORDER00032,PayPal,917,No,3 Stars,3,★★★☆☆,Express,True,PayPal,1,1,1,0.24,0.034285714,"1,890.9",7.0,355.44,440.3,62.9,7,2,4.9,0.7,1890.94
Clothing,UK,4026,05-03-2023 00:00:00,ORDER00033,Credit Card,116,Yes,5 Stars,5,★★★★★,Next Day,True,Credit Card,1,1,1,0.14,0.023333333,385.4,6.0,74.69,112.44,18.74,6,3,34.42,5.736666667,385.4
Electronics,Canada,4732,17-02-2023 00:00:00,ORDER00034,Bank Transfer,977,No,5 Stars,5,★★★★★,Next Day,True,Bank Transfer,1,1,1,0.17,0.017,"1,788.3",10.0,215.46,251.89,25.189,10,2,10.5,1.05,1788.32
Clothing,France,1783,23-10-2023 00:00:00,ORDER00035,Bank Transfer,756,No,2 Stars,2,★★☆☆☆,Express,True,Bank Transfer,1,1,1,0.23,0.02875,"4,697.6",8.0,762.59,1109.44,138.68,8,4,9.81,1.22625,4697.55
Books,Canada,9874,04-06-2023 00:00:00,ORDER00036,Cash,710,No,4 Stars,4,★★★★☆,Express,True,Cash,1,1,1,0.29,0.096666667,528.4,3.0,248.06,56.56,18.853333333,3,4,35.64,11.88,528.37
Home,Canada,9870,12-12-2023 00:00:00,ORDER00037,Cash,848,No,3 Stars,3,★★★☆☆,Standard,True,Cash,1,1,1,0.22,0.044,425.4,5.0,109.07,69.89,13.978,5,4,8.01,1.602,425.37
Home,Canada,6525,02-11-2023 00:00:00,ORDER00038,Credit Card,432,No,3 Stars,3,★★★☆☆,Next Day,True,Credit Card,1,1,1,0.33,0.33,231.6,1.0,345.68,67.9,67.9,1,5,4.76,4.76,231.61
Electronics,USA,8410,18-07-2023 00:00:00,ORDER00039,Credit Card,449,No,4 Stars,4,★★★★☆,Next Day,True,Credit Card,1,1,1,0.38,0.095,"1,432.6",4.0,577.64,344.81,86.2025,4,5,6.61,1.6525,1432.55
Electronics,USA,4397,09-02-2023 00:00:00,ORDER00040,Credit Card,851,Yes,2 Stars,2,★★☆☆☆,Standard,True,Credit Card,1,1,1,0.12,0.02,"1,386.5",6.0,262.6,196.51,32.751666667,6,2,30.93,5.155,1386.53
Books,UK,8253,03-10-2023 00:00:00,ORDER00041,PayPal,100,No,5 Stars,5,★★★★★,Next Day,True,PayPal,1,1,1,0.25,0.035714286,"4,061.0",7.0,773.53,708.96,101.28,7,0,7.93,1.132857143,4061.03
Electronics,Germany,6238,18-05-2023 00:00:00,ORDER00042,PayPal,985,No,1 Stars,1,★☆☆☆☆,Standard,True,PayPal,1,1,1,0.21,0.021,"7,838.9",10.0,992.27,1877.46,187.746,10,5,31.44,3.144,7838.93
Electronics,Germany,9299,19-02-2023 00:00:00,ORDER00043,Bank Transfer,178,Yes,5 Stars,5,★★★★★,Next Day,True,Bank Transfer,1,1,1,0.27,0.038571429,"3,332.1",7.0,652.07,891.54,127.362857143,7,3,13.58,1.94,3332.08
Sports,Germany,7618,14-02-2023 00:00:00,ORDER00044,Bank Transfer,756,No,3 Stars,3,★★★☆☆,Express,True,Bank Transfer,1,1,1,0.23,0.02875,"4,227.7",8.0,686.31,543.45,67.93125,8,0,37.48,4.685,4227.67
Home,France,4985,14-09-2023 00:00:00,ORDER00045,PayPal,798,No,2 Stars,2,★★☆☆☆,Standard,True,PayPal,1,1,1,0.31,0.034444444,"1,048.7",9.0,168.87,210.85,23.427777778,9,4,28.85,3.205555556,1048.68
Home,UK,1968,27-06-2023 00:00:00,ORDER00046,PayPal,660,No,2 Stars,2,★★☆☆☆,Express,True,PayPal,1,1,1,0.33,0.066,"2,783.0",5.0,830.73,831.27,166.254,5,5,29.76,5.952,2782.95
Clothing,France,5881,04-05-2023 00:00:00,ORDER00047,Credit Card,148,Yes,1 Stars,1,★☆☆☆☆,Express,True,Credit Card,1,1,1,0.19,0.19,52.5,1.0,64.84,5.42,5.42,1,1,41.6,41.6,52.52
Sports,Germany,1661,26-05-2023 00:00:00,ORDER00048,Cash,911,Yes,3 Stars,3,★★★☆☆,Express,True,Cash,1,1,1,0.11,0.01375,"6,514.5",8.0,914.96,775.29,96.91125,8,1,41.87,5.23375,6514.52
Home,UK,8987,03-01-2023 00:00:00,ORDER00049,Credit Card,424,Yes,4 Stars,4,★★★★☆,Express,True,Credit Card,1,1,1,0.33,0.066,"1,117.6",5.0,333.62,215.54,43.108,5,1,9.76,1.952,1117.63
Clothing,France,8738,18-07-2023 00:00:00,ORDER00050,Cash,289,Yes,1 Stars,1,★☆☆☆☆,Standard,True,Cash,1,1,1,0.18,0.018,"2,169.6",10.0,264.59,605.59,60.559,10,2,24.67,2.467,2169.64
Books,Germany,8098,18-07-2023 00:00:00,ORDER00051,Cash,962,Yes,4 Stars,4,★★★★☆,Standard,True,Cash,1,1,1,0.29,0.041428571,568.6,7.0,114.4,71.05,10.15,7,2,34.69,4.955714286,568.57
Electronics,USA,6680,14-12-2023 00:00:00,ORDER00052,Cash,266,Yes,1 Stars,1,★☆☆☆☆,Standard,True,Cash,1,1,1,0.07,0.007,"5,097.2",10.0,548.09,1456.27,145.627,10,5,21.35,2.135,5097.24
Home,Germany,8897,05-01-2023 00:00:00,ORDER00053,Credit Card,698,No,5 Stars,5,★★★★★,Standard,True,Credit Card,1,1,1,0.39,0.39,38.6,1.0,63.2,8.17,8.17,1,5,43.15,43.15,38.55
Books,UK,6196,19-06-2023 00:00:00,ORDER00054,Bank Transfer,640,Yes,4 Stars,4,★★★★☆,Express,True,Bank Transfer,1,1,1,0.15,0.15,420.4,1.0,494.61,64.2,64.2,1,2,4.8,4.8,420.42
Home,Germany,4633,15-04-2023 00:00:00,ORDER00055,Cash,545,No,4 Stars,4,★★★★☆,Standard,True,Cash,1,1,1,0.28,0.14,"1,174.8",2.0,815.84,312.79,156.395,2,0,26.13,13.065,1174.81
Sports,USA,1687,08-12-2023 00:00:00,ORDER00056,Bank Transfer,544,No,1 Stars,1,★☆☆☆☆,Express,True,Bank Transfer,1,1,1,0.24,0.034285714,"4,046.1",7.0,760.54,685.63,97.947142857,7,0,39.81,5.687142857,4046.07
Clothing,Canada,3165,20-06-2023 00:00:00,ORDER00057,Bank Transfer,715,No,4 Stars,4,★★★★☆,Next Day,True,Bank Transfer,1,1,1,0.13,0.018571429,659.6,7.0,108.31,149.81,21.401428571,7,0,47.83,6.832857143,659.61
Electronics,France,7694,11-09-2023 00:00:00,ORDER00058,PayPal,245,No,1 Stars,1,★☆☆☆☆,Next Day,True,PayPal,1,1,1,0.35,0.116666667,952.3,3.0,488.37,176.56,58.853333333,3,5,16.27,5.423333333,952.32
Books,Canada,5479,18-03-2023 00:00:00,ORDER00059,PayPal,152,Yes,3 Stars,3,★★★☆☆,Express,True,PayPal,1,1,1,0.2,0.1,"1,401.2",2.0,875.76,371.75,185.875,2,4,45.75,22.875,1401.22
Electronics,France,6326,01-11-2023 00:00:00,ORDER00060,Cash,676,Yes,3 Stars,3,★★★☆☆,Standard,True,Cash,1,1,1,0.14,0.028,"3,014.7",5.0,701.09,398.03,79.606,5,4,12.45,2.49,3014.69
Clothing,Germany,3225,13-09-2023 00:00:00,ORDER00061,Cash,511,No,1 Stars,1,★☆☆☆☆,Standard,True,Cash,1,1,1,0.09,0.018,311.8,5.0,68.52,90,18,5,2,6.2,1.24,311.77
Electronics,UK,9271,26-08-2023 00:00:00,ORDER00062,Bank Transfer,460,Yes,1 Stars,1,★☆☆☆☆,Standard,True,Bank Transfer,1,1,1,0.36,0.18,257.2,2.0,200.95,39.46,19.73,2,4,44.43,22.215,257.22
Electronics,Canada,2439,28-09-2023 00:00:00,ORDER00063,Credit Card,883,Yes,1 Stars,1,★☆☆☆☆,Standard,True,Credit Card,1,1,1,0.34,0.085,"2,442.8",4.0,925.3,287.19,71.7975,4,1,4.66,1.165,2442.79
Electronics,USA,3961,22-02-2023 00:00:00,ORDER00064,Credit Card,184,Yes,5 Stars,5,★★★★★,Express,True,Credit Card,1,1,1,0.39,0.065,"2,443.3",6.0,667.57,514.62,85.77,6,5,49.6,8.266666667,2443.31
Home,Germany,7671,21-09-2023 00:00:00,ORDER00065,Cash,29,No,5 Stars,5,★★★★★,Next Day,True,Cash,1,1,1,0.14,0.046666667,"2,018.7",3.0,782.45,521.88,173.96,3,2,27,9,2018.72
Clothing,USA,8015,15-10-2023 00:00:00,ORDER00066,Credit Card,803,No,2 Stars,2,★★☆☆☆,Express,True,Credit Card,1,1,1,0.4,0.1,"1,329.8",4.0,554.08,234.06,58.515,4,4,37.91,9.4775,1329.79
Home,Canada,9109,04-06-2023 00:00:00,ORDER00067,PayPal,129,Yes,2 Stars,2,★★☆☆☆,Standard,True,PayPal,1,1,1,0.27,0.03375,687.4,8.0,117.7,146.12,18.265,8,3,10.46,1.3075,687.37
Clothing,UK,5530,19-12-2023 00:00:00,ORDER00068,Credit Card,129,No,3 Stars,3,★★★☆☆,Next Day,True,Credit Card,1,1,1,0.35,0.116666667,957.1,3.0,490.84,218.27,72.756666667,3,4,29.21,9.736666667,957.14
Home,France,3401,13-03-2023 00:00:00,ORDER00069,Bank Transfer,933,Yes,3 Stars,3,★★★☆☆,Express,True,Bank Transfer,1,1,1,0.34,0.068,"1,762.0",5.0,533.93,206.34,41.268,5,5,39.89,7.978,1761.97
Electronics,UK,2140,12-05-2023 00:00:00,ORDER00070,PayPal,54,No,2 Stars,2,★★☆☆☆,Express,True,PayPal,1,1,1,0.34,0.113333333,893.1,3.0,451.04,222.58,74.193333333,3,1,41.48,13.826666667,893.06
Electronics,France,4708,22-10-2023 00:00:00,ORDER00071,Cash,902,Yes,2 Stars,2,★★☆☆☆,Standard,True,Cash,1,1,1,0.12,0.12,861.7,1.0,979.17,220.98,220.98,1,4,15.71,15.71,861.67
Electronics,France,2028,14-04-2023 00:00:00,ORDER00072,Credit Card,551,No,1 Stars,1,★☆☆☆☆,Express,True,Credit Card,1,1,1,0.27,0.03375,"1,723.3",8.0,295.09,397.83,49.72875,8,1,43.11,5.38875,1723.33
Clothing,UK,4275,21-08-2023 00:00:00,ORDER00073,Credit Card,489,Yes,2 Stars,2,★★☆☆☆,Next Day,True,Credit Card,1,1,1,0.14,0.046666667,675.0,3.0,261.62,160.13,53.376666667,3,3,46.34,15.446666667,674.98
Home,Germany,3981,05-03-2023 00:00:00,ORDER00074,Credit Card,757,Yes,3 Stars,3,★★★☆☆,Next Day,True,Credit Card,1,1,1,0.08,0.013333333,"2,500.0",6.0,452.89,485.15,80.858333333,6,1,22.2,3.7,2499.95
Books,Germany,5686,03-06-2023 00:00:00,ORDER00075,Cash,274,No,4 Stars,4,★★★★☆,Next Day,True,Cash,1,1,1,0.38,0.042222222,"2,927.0",9.0,524.56,444.4,49.377777778,9,5,24.75,2.75,2927.04
Electronics,USA,4942,05-09-2023 00:00:00,ORDER00076,PayPal,336,Yes,1 Stars,1,★☆☆☆☆,Express,True,PayPal,1,1,1,0.16,0.04,"1,098.5",4.0,326.93,300.57,75.1425,4,2,45.23,11.3075,1098.48
Home,Canada,5778,04-10-2023 00:00:00,ORDER00077,PayPal,389,Yes,1 Stars,1,★☆☆☆☆,Express,True,PayPal,1,1,1,0.39,0.078,"3,018.2",5.0,989.57,439.17,87.834,5,3,43.87,8.774,3018.19
Sports,USA,7961,24-12-2023 00:00:00,ORDER00078,Credit Card,618,No,4 Stars,4,★★★★☆,Next Day,True,Credit Card,1,1,1,0.14,0.0175,855.9,8.0,124.41,98.82,12.3525,8,0,18.68,2.335,855.94
Clothing,France,6660,23-07-2023 00:00:00,ORDER00079,Credit Card,43,Yes,4 Stars,4,★★★★☆,Standard,True,Credit Card,1,1,1,0.32,0.035555556,"6,007.1",9.0,981.55,717.12,79.68,9,4,31.3,3.477777778,6007.09
Sports,USA,5971,14-03-2023 00:00:00,ORDER00080,Credit Card,443,Yes,4 Stars,4,★★★★☆,Express,True,Credit Card,1,1,1,0.33,0.033,"6,146.9",10.0,917.45,1339.37,133.937,10,2,47.21,4.721,6146.91
Sports,Canada,2926,09-12-2023 00:00:00,ORDER00081,Credit Card,544,Yes,2 Stars,2,★★☆☆☆,Express,True,Credit Card,1,1,1,0.25,0.05,"3,501.2",5.0,933.66,370.92,74.184,5,5,43.47,8.694,3501.23
Home,Germany,6756,12-05-2023 00:00:00,ORDER00082,Credit Card,889,Yes,3 Stars,3,★★★☆☆,Standard,True,Credit Card,1,1,1,0.38,0.19,482.9,2.0,389.41,60.81,30.405,2,0,48.74,24.37,482.87
Home,Canada,2486,06-08-2023 00:00:00,ORDER00083,Credit Card,258,Yes,1 Stars,1,★☆☆☆☆,Standard,True,Credit Card,1,1,1,0.29,0.0725,"1,734.5",4.0,610.74,210.3,52.575,4,0,41.49,10.3725,1734.5
Home,Canada,2776,18-04-2023 00:00:00,ORDER00084,Bank Transfer,322,No,1 Stars,1,★☆☆☆☆,Next Day,True,Bank Transfer,1,1,1,0.17,0.17,486.2,1.0,585.82,91.16,91.16,1,5,15.82,15.82,486.23
Electronics,UK,8397,14-08-2023 00:00:00,ORDER00085,PayPal,1000,No,3 Stars,3,★★★☆☆,Next Day,True,PayPal,1,1,1,0.1,0.016666667,"3,279.3",6.0,607.27,437.66,72.943333333,6,0,6.71,1.118333333,3279.26
Books,Germany,3488,12-11-2023 00:00:00,ORDER00086,Bank Transfer,938,No,5 Stars,5,★★★★★,Standard,True,Bank Transfer,1,1,1,0.25,0.041666667,311.2,6.0,69.16,87.06,14.51,6,3,22.31,3.718333333,311.22
Books,USA,3733,04-03-2023 00:00:00,ORDER00087,Credit Card,58,Yes,3 Stars,3,★★★☆☆,Next Day,True,Credit Card,1,1,1,0.23,0.025555556,"5,650.9",9.0,815.42,691.33,76.814444444,9,2,40.69,4.521111111,5650.86
Electronics,USA,9962,18-11-2023 00:00:00,ORDER00088,Credit Card,292,Yes,3 Stars,3,★★★☆☆,Standard,True,Credit Card,1,1,1,0.24,0.048,"1,419.4",5.0,373.53,145.79,29.158,5,0,3.32,0.664,1419.41
Electronics,France,7136,15-12-2023 00:00:00,ORDER00089,PayPal,871,Yes,3 Stars,3,★★★☆☆,Express,True,PayPal,1,1,1,0.18,0.0225,"6,014.9",8.0,916.91,1506.64,188.33,8,3,42.44,5.305,6014.93
Books,Germany,1539,02-09-2023 00:00:00,ORDER00090,PayPal,120,Yes,3 Stars,3,★★★☆☆,Express,True,PayPal,1,1,1,0.31,0.155,266.7,2.0,193.29,58.17,29.085,2,4,47.26,23.63,266.74
Home,USA,5975,02-12-2023 00:00:00,ORDER00091,Credit Card,780,Yes,4 Stars,4,★★★★☆,Express,True,Credit Card,1,1,1,0.21,0.105,920.0,2.0,582.27,241.12,120.56,2,5,20.42,10.21,919.99
Home,Canada,7021,21-09-2023 00:00:00,ORDER00092,Bank Transfer,431,Yes,1 Stars,1,★☆☆☆☆,Express,True,Bank Transfer,1,1,1,0.36,0.12,"1,157.0",3.0,602.61,267.1,89.033333333,3,2,35.13,11.71,1157.01
Books,USA,3328,17-11-2023 00:00:00,ORDER00093,Credit Card,83,Yes,3 Stars,3,★★★☆☆,Next Day,True,Credit Card,1,1,1,0.15,0.0375,126.6,4.0,37.22,25.83,6.4575,4,4,38.72,9.68,126.55
Sports,Germany,3605,14-02-2023 00:00:00,ORDER00094,Bank Transfer,92,No,4 Stars,4,★★★★☆,Standard,True,Bank Transfer,1,1,1,0.2,0.033333333,954.5,6.0,198.86,201.04,33.506666667,6,3,44.98,7.496666667,954.53
Electronics,Canada,8370,09-11-2023 00:00:00,ORDER00095,Cash,897,Yes,5 Stars,5,★★★★★,Express,True,Cash,1,1,1,0.21,0.02625,"3,078.3",8.0,487.07,694.65,86.83125,8,3,33.03,4.12875,3078.28
Sports,France,1493,07-07-2023 00:00:00,ORDER00096,PayPal,399,No,4 Stars,4,★★★★☆,Next Day,True,PayPal,1,1,1,0.12,0.017142857,"3,700.4",7.0,600.72,392.05,56.007142857,7,5,46.71,6.672857143,3700.44
Books,Canada,2028,07-09-2023 00:00:00,ORDER00097,Bank Transfer,612,No,2 Stars,2,★★☆☆☆,Standard,True,Bank Transfer,1,1,1,0.35,0.07,314.8,5.0,96.87,36.26,7.252,5,5,24.5,4.9,314.83
Books,UK,4830,04-08-2023 00:00:00,ORDER00098,Credit Card,566,Yes,5 Stars,5,★★★★★,Next Day,True,Credit Card,1,1,1,0.09,0.015,"1,726.7",6.0,316.25,275.03,45.838333333,6,1,36.89,6.148333333,1726.72
Sports,France,5196,13-12-2023 00:00:00,ORDER00099,Bank Transfer,909,Yes,2 Stars,2,★★☆☆☆,Standard,True,Bank Transfer,1,1,1,0.38,0.0475,"2,708.5",8.0,546.07,461.44,57.68,8,5,2.62,0.3275,2708.51
Electronics,Germany,9285,19-03-2023 00:00:00,ORDER00100,Cash,634,No,5 Stars,5,★★★★★,Standard,True,Cash,1,1,1,0.09,0.018,"3,103.0",5.0,681.98,811.3,162.26,5,5,5.3,1.06,3103.01
Sports,USA,2702,24-08-2023 00:00:00,ORDER00101,Cash,939,No,5 Stars,5,★★★★★,Express,True,Cash,1,1,1,0.13,0.018571429,"5,102.3",7.0,837.81,1476.01,210.858571429,7,1,3.1,0.442857143,5102.26
Home,Canada,4626,05-05-2023 00:00:00,ORDER00102,Bank Transfer,85,Yes,5 Stars,5,★★★★★,Standard,True,Bank Transfer,1,1,1,0.22,0.044,"2,974.5",5.0,762.68,323.35,64.67,5,4,29.39,5.878,2974.45
Sports,USA,9995,11-09-2023 00:00:00,ORDER00103,Bank Transfer,204,Yes,4 Stars,4,★★★★☆,Express,True,Bank Transfer,1,1,1,0.13,0.026,"3,411.6",5.0,784.28,866.78,173.356,5,0,32.15,6.43,3411.62
Clothing,UK,9725,28-04-2023 00:00:00,ORDER00104,Credit Card,325,Yes,5 Stars,5,★★★★★,Standard,True,Credit Card,1,1,1,0.25,0.027777778,"1,941.7",9.0,287.66,504.6,56.066666667,9,3,17.49,1.943333333,1941.7
Sports,USA,4654,05-01-2023 00:00:00,ORDER00105,Bank Transfer,775,No,5 Stars,5,★★★★★,Express,True,Bank Transfer,1,1,1,0.13,0.01625,"2,293.5",8.0,329.53,326.8,40.85,8,2,11.22,1.4025,2293.53
Sports,Germany,9671,20-01-2023 00:00:00,ORDER00106,Credit Card,965,No,1 Stars,1,★☆☆☆☆,Standard,True,Credit Card,1,1,1,0.36,0.09,"1,618.9",4.0,632.37,481.66,120.415,4,4,15.9,3.975,1618.87
Home,UK,4455,01-06-2023 00:00:00,ORDER00107,Cash,48,No,2 Stars,2,★★☆☆☆,Next Day,True,Cash,1,1,1,0.12,0.017142857,"1,120.1",7.0,181.84,142.55,20.364285714,7,2,45.97,6.567142857,1120.13
Home,UK,9010,01-05-2023 00:00:00,ORDER00108,Cash,640,No,1 Stars,1,★☆☆☆☆,Standard,True,Cash,1,1,1,0.21,0.023333333,"6,468.8",9.0,909.82,1729.07,192.118888889,9,0,17,1.888888889,6468.82
Home,France,8883,25-03-2023 00:00:00,ORDER00109,Cash,132,No,1 Stars,1,★☆☆☆☆,Standard,True,Cash,1,1,1,0.37,0.041111111,"4,124.7",9.0,727.46,617.65,68.627777778,9,4,8.33,0.925555556,4124.7
Electronics,UK,1054,21-08-2023 00:00:00,ORDER00110,Credit Card,973,Yes,5 Stars,5,★★★★★,Standard,True,Credit Card,1,1,1,0.36,0.045,344.6,8.0,67.31,72.45,9.05625,8,0,28.14,3.5175,344.63
